Designator,Footprint,Quantity,Value,LCSC Part #
"""-""1, ""0""1, ""1, ""1""1, ""2""1, ""3""1, ""4""1, ""5""1, ""6""1, ""7""1, ""8""1, ""9""1, ""=""1, ""?""1, ;1, <1, >1, A1, B1, Backspace1, C1, D105, Delete1, DownArrow1, E1, ESC1, End1, F10, F11, F12, F13, F2, F3, F4, F5, F6, F7, F8, F9, Func1, G1, H1, Home1, I1, Insert1, J2, K1, L1, LeftArrow1, M1, N1, Num*1, Num-1, Num.1, Num/1, Num1, Num2, Num3, Num4, Num5, Num6, Num7, Num8, Num9, NumLock1, O1, P1, PauseBreak1, PgDn1, PgUp1, PrtSc1, Q1, R4, RightArrow1, S1, ScrollLock1, T1, Tilde1, U2, UpArrow1, V1, W1, X1, Y1, Z1, {1, }1",MX_PCB_1.00u,87,Keyswitch,
"C10, C11, C13, C16, C7",Capacitor_0402,5,100nF,C307331
"C12, C17",Capacitor_0402,2,4.7uF,C23733
C14,Capacitor_0402,1,10nF,C15195
C15,Capacitor_0402,1,1uF,C52923
CapsLock1,MX_PCB_1.75u,1,Keyswitch,
"D1, D10, D100, D101, D102, D103, D104, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",Diode_SOD-123,104,Diode,
"Enter1, Shift1",MX_PCB_2.25u,2,Keyswitch,
J3,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
"LeftAlt1, LeftControl1, LeftWin1, Menu1, RightAlt1, RightControl1, RightWin1",MX_PCB_1.25u,7,Keyswitch,
"Num+1, NumEnter1",MX_PCB_2.00u_90deg,2,Keyswitch,
Num0,MX_PCB_2.00u,1,Keyswitch,
R1,Resistor_0402,1,10k,C25744
RightShift1,MX_PCB_2.75u,1,Keyswitch,
SW1,Button_TL3342,1,SW_Push,C115351
Space1,MX_Plate_6.25u,1,Keyswitch,
"Tab1, \1",MX_PCB_1.50u,2,Keyswitch,
U1,Package_LQFP-48_7x7mm_P0.5,1,STM32F072CBT6,C81720
