Designator,Mid X,Mid Y,Rotation,Layer
"""-""1",322.294946,-258.160029,0.0,top
"""0""1",303.244946,-258.160029,0.0,top
"""1",336.582446,-296.260029,0.0,top
"""1""1",131.794946,-258.160029,0.0,top
"""2""1",150.844946,-258.160029,0.0,top
"""3""1",169.894946,-258.160029,0.0,top
"""4""1",188.944946,-258.160029,0.0,top
"""5""1",207.994946,-258.160029,0.0,top
"""6""1",227.044946,-258.160029,0.0,top
"""7""1",246.094946,-258.160029,0.0,top
"""8""1",265.144946,-258.160029,0.0,top
"""9""1",284.194946,-258.160029,0.0,top
"""=""1",341.344946,-258.160029,0.0,top
"""?""1",327.057446,-315.310029,0.0,top
;1,317.532446,-296.260029,0.0,top
<1,288.957446,-315.310029,0.0,top
>1,308.007446,-315.310029,0.0,top
A1,146.082446,-296.260029,0.0,top
B1,231.807446,-315.310029,0.0,top
Backspace1,369.919946,-258.160029,0.0,top
C1,193.707446,-315.310029,0.0,top
C10,485.947445,-236.485028,180.0,bottom
C11,494.819949,-227.612528,270.0,bottom
C12,495.802449,-227.612521,270.0,bottom
C13,489.319946,-239.857529,90.0,bottom
C14,485.947446,-232.735029,180.0,bottom
C15,485.947445,-231.752529,180.0,bottom
C16,496.792445,-237.407536,180.0,bottom
C17,496.792443,-238.390029,180.0,bottom
C7,485.947446,-233.735028,0.0,bottom
CapsLock1,119.888696,-296.260029,0.0,top
D1,115.919146,-230.378129,90.0,bottom
D10,325.455946,-230.378129,90.0,bottom
D100,406.413346,-335.146529,90.0,bottom
D101,425.462146,-335.083929,90.0,bottom
D102,444.510946,-335.146529,90.0,bottom
D103,477.846346,-335.083929,90.0,bottom
D104,506.419546,-335.083929,90.0,bottom
D105,184.182446,-296.260029,0.0,top
D11,344.504746,-230.378129,90.0,bottom
D12,363.553546,-230.315529,90.0,bottom
D13,406.413346,-230.378129,90.0,bottom
D14,425.462146,-230.315529,90.0,bottom
D15,444.510946,-230.315529,90.0,bottom
D16,382.602346,-230.378129,90.0,bottom
D17,115.919146,-258.951329,90.0,bottom
D18,134.967946,-258.951329,90.0,bottom
D19,154.016746,-258.951329,90.0,bottom
D2,154.016746,-230.315529,90.0,bottom
D20,173.065546,-258.888729,90.0,bottom
D21,192.114346,-258.888729,90.0,bottom
D22,211.163146,-258.888729,90.0,bottom
D23,230.211946,-258.951329,90.0,bottom
D24,249.260746,-258.951329,90.0,bottom
D25,268.309546,-258.888729,90.0,bottom
D26,287.358346,-258.951329,90.0,bottom
D27,306.407146,-258.951329,90.0,bottom
D28,325.455946,-258.951329,90.0,bottom
D29,344.504746,-258.951329,90.0,bottom
D3,173.065546,-230.315529,90.0,bottom
D30,373.077946,-258.888729,90.0,bottom
D31,406.413346,-258.951329,90.0,bottom
D32,425.462146,-258.888729,90.0,bottom
D33,444.510946,-258.951329,90.0,bottom
D34,468.321946,-258.951329,90.0,bottom
D35,487.370746,-258.951329,90.0,bottom
D36,506.419546,-259.013929,90.0,bottom
D37,525.468346,-258.951329,90.0,bottom
D38,120.681346,-278.000129,90.0,bottom
D39,144.492346,-277.937529,90.0,bottom
D4,192.114346,-230.378129,90.0,bottom
D40,163.541146,-277.937529,90.0,bottom
D41,182.589946,-278.000129,90.0,bottom
D42,201.638746,-278.000129,90.0,bottom
D43,220.687546,-277.937529,90.0,bottom
D44,239.736346,-277.937529,90.0,bottom
D45,258.785146,-277.937529,90.0,bottom
D46,277.833946,-278.000129,90.0,bottom
D47,296.882746,-277.937529,90.0,bottom
D48,315.931546,-278.000129,90.0,bottom
D49,334.980346,-278.000129,90.0,bottom
D5,211.163146,-230.378129,90.0,bottom
D50,354.029146,-277.937529,90.0,bottom
D51,377.840146,-277.937529,90.0,bottom
D52,406.413346,-277.937529,90.0,bottom
D53,425.462146,-277.937529,90.0,bottom
D54,444.510946,-278.000129,90.0,bottom
D55,468.321946,-278.000129,90.0,bottom
D56,487.370746,-278.000129,90.0,bottom
D57,506.419546,-277.937529,90.0,bottom
D58,525.468346,-287.524529,90.0,bottom
D59,123.062446,-297.048929,90.0,bottom
D6,239.736346,-230.378129,90.0,bottom
D60,149.254546,-296.986329,90.0,bottom
D61,168.303346,-296.986329,90.0,bottom
D62,187.352146,-296.986329,90.0,bottom
D63,206.400946,-297.048929,90.0,bottom
D64,225.449746,-296.986329,90.0,bottom
D65,244.498546,-297.048929,90.0,bottom
D66,263.547346,-296.986329,90.0,bottom
D67,282.596146,-297.048929,90.0,bottom
D68,301.644946,-296.986329,90.0,bottom
D69,320.693746,-296.986329,90.0,bottom
D7,258.785146,-230.378129,90.0,bottom
D70,339.742546,-296.986329,90.0,bottom
D71,370.696846,-296.986329,90.0,bottom
D72,487.370746,-296.986329,90.0,bottom
D73,506.419546,-297.048929,90.0,bottom
D74,468.321946,-297.048929,90.0,bottom
D75,127.824646,-316.097729,90.0,bottom
D76,158.778946,-316.097729,90.0,bottom
D77,177.827746,-316.097729,90.0,bottom
D78,196.876546,-316.097729,90.0,bottom
D79,215.925346,-316.097729,90.0,bottom
D8,277.833946,-230.378129,90.0,bottom
D80,234.974146,-316.097729,90.0,bottom
D81,254.022946,-316.097729,90.0,bottom
D82,273.071746,-316.097729,90.0,bottom
D83,292.120546,-316.097729,90.0,bottom
D84,311.169346,-316.097729,90.0,bottom
D85,330.218146,-316.097729,90.0,bottom
D86,365.934646,-316.097729,90.0,bottom
D87,425.462146,-316.097729,90.0,bottom
D88,468.321946,-316.035129,90.0,bottom
D89,487.370746,-316.035129,90.0,bottom
D9,296.882746,-230.378129,90.0,bottom
D90,506.419546,-316.097729,90.0,bottom
D91,525.468346,-325.622129,90.0,bottom
D92,118.300246,-335.146529,90.0,bottom
D93,142.111246,-335.146529,90.0,bottom
D94,165.922246,-335.146529,90.0,bottom
D95,237.355246,-335.146529,90.0,bottom
D96,308.788246,-335.146529,90.0,bottom
D97,332.599246,-335.146529,90.0,bottom
D98,356.410246,-335.083929,90.0,bottom
D99,380.221246,-335.146529,90.0,bottom
Delete1,403.257446,-277.210029,0.0,top
DownArrow1,422.307446,-334.360029,0.0,top
E1,179.419946,-277.210029,0.0,top
ESC1,112.744946,-229.585029,0.0,top
End1,422.307446,-277.210029,0.0,top
Enter1,367.538696,-296.260029,0.0,top
F10,341.294946,-229.585029,0.0,top
F11,360.294946,-229.585029,0.0,top
F12,379.424946,-229.585029,0.0,top
F13,203.232446,-296.260029,0.0,top
F2,169.894946,-229.585029,0.0,top
F3,188.944946,-229.585029,0.0,top
F4,207.994946,-229.585029,0.0,top
F5,236.569946,-229.585029,0.0,top
F6,255.569946,-229.585029,0.0,top
F7,274.569946,-229.585029,0.0,top
F8,293.569946,-229.585029,0.0,top
F9,322.294946,-229.585029,0.0,top
Func1,150.844946,-229.585029,0.0,top
G1,222.282446,-296.260029,0.0,top
H1,241.332446,-296.260029,0.0,top
Home1,422.307446,-258.160029,0.0,top
I1,274.669946,-277.210029,0.0,top
Insert1,403.257446,-258.160029,0.0,top
J2,260.382446,-296.260029,0.0,top
J3,518.669946,-229.810029,90.0,bottom
K1,279.432446,-296.260029,0.0,top
L1,298.482446,-296.260029,0.0,top
LeftAlt1,162.751196,-334.360029,0.0,top
LeftArrow1,403.257446,-334.360029,0.0,top
LeftControl1,115.126196,-334.360029,0.0,top
LeftWin1,138.938696,-334.360029,0.0,top
M1,269.907446,-315.310029,0.0,top
Menu1,353.251196,-334.360029,0.0,top
N1,250.857446,-315.310029,0.0,top
Num*1,503.269946,-258.160029,0.0,top
Num+1,522.319946,-286.735029,0.0,top
Num-1,522.319946,-258.160029,0.0,top
Num.1,503.269946,-334.360029,0.0,top
Num/1,484.219946,-258.160029,0.0,top
Num0,474.694946,-334.360029,0.0,top
Num1,465.169946,-315.310029,0.0,top
Num2,484.219946,-315.310029,0.0,top
Num3,503.269946,-315.310029,0.0,top
Num4,465.169946,-296.260029,0.0,top
Num5,484.219946,-296.260029,0.0,top
Num6,503.269946,-296.260029,0.0,top
Num7,465.169946,-277.210029,0.0,top
Num8,484.219946,-277.210029,0.0,top
Num9,503.269946,-277.210029,0.0,top
NumEnter1,522.319946,-324.835029,0.0,top
NumLock1,465.169946,-258.160029,0.0,top
O1,293.719946,-277.210029,0.0,top
P1,312.769946,-277.210029,0.0,top
PauseBreak1,441.357446,-229.585029,0.0,top
PgDn1,441.357446,-277.210029,0.0,top
PgUp1,441.357446,-258.160029,0.0,top
PrtSc1,403.257446,-229.585029,0.0,top
Q1,141.319946,-277.210029,0.0,top
R1,512.069951,-223.940033,180.0,bottom
R4,198.469946,-277.210029,0.0,top
RightAlt1,305.626196,-334.360029,0.0,top
RightArrow1,441.357446,-334.360029,0.0,top
RightControl1,377.063696,-334.360029,0.0,top
RightShift1,362.776196,-315.310029,0.0,top
RightWin1,329.438696,-334.360029,0.0,top
S1,165.132446,-296.260029,0.0,top
SW1,510.682445,-228.722529,270.0,bottom
ScrollLock1,422.307446,-229.585029,0.0,top
Shift1,124.651196,-315.310029,0.0,top
Space1,234.188696,-334.360029,0.0,top
T1,217.519946,-277.210029,0.0,top
Tab1,117.507446,-277.210029,0.0,top
Tilde1,112.744946,-258.160029,0.0,top
U1,492.069946,-233.735029,90.0,bottom
U2,255.619946,-277.210029,0.0,top
UpArrow1,422.307446,-315.310029,0.0,top
V1,212.757446,-315.310029,0.0,top
W1,160.369946,-277.210029,0.0,top
X1,174.657446,-315.310029,0.0,top
Y1,236.569946,-277.210029,0.0,top
Z1,155.607446,-315.310029,0.0,top
\1,374.682446,-277.210029,0.0,top
{1,331.819946,-277.210029,0.0,top
}1,350.869946,-277.210029,0.0,top
